pct_father,av_pct_child
1,45.4602
2,44.6888
3,44.9085
4,45.3343
5,45.5994
6,45.5281
7,45.627
8,45.5201
9,45.4351
10,45.2539
11,45.2472
12,45.2404
13,45.4932
14,45.5345
15,45.7474
16,45.7461
17,45.9728
18,45.9289
19,46.1748
20,46.3081
21,46.4331
22,46.598
23,46.7285
24,46.8962
25,47.1393
26,47.403
27,47.3386
28,47.8069
29,47.8825
30,48.1338
31,48.0337
32,48.1711
33,48.3525
34,48.5311
35,48.9032
36,48.869
37,48.9694
38,49.1507
39,49.3169
40,49.3637
41,49.5313
42,49.6688
43,49.857
44,50.0452
45,50.1935
46,50.2966
47,50.3613
48,50.5481
49,50.6416
50,50.6554
51,50.8711
52,51.1211
53,51.128
54,51.4714
55,51.4948
56,51.5197
57,51.7546
58,51.7478
59,51.947
60,52.1764
61,52.1147
62,52.2041
63,52.2934
64,52.4583
65,52.4694
66,52.6576
67,52.9982
68,52.8747
69,53.0149
70,53.3829
71,53.3391
72,53.6825
73,53.5961
74,53.7884
75,53.9739
76,54.1827
77,54.0839
78,54.4067
79,54.5427
80,54.8682
81,55.0001
82,55.0716
83,55.1747
84,55.4535
85,55.6431
86,55.8835
87,55.9687
88,56.4356
89,56.6156
90,57.0399
91,56.9577
92,57.4973
93,57.7871
94,58.3241
95,59.0944
96,59.5503
97,60.5994
98,61.8557
99,64.4205
100,72.1133
